TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL,Rs,Rc,Value,Card ID
567743,YuGiOh,Ancient Prophecy,Skill Successor,,ANPR-EN063,Super Rare,Lightly Played Unlimited,0.96,0,0,0,,1,0.96,,,,0.00620372360572,0.378000020981,"('ANPR',)",9d7632ba00434b9b944fae0598b88a85
567850,YuGiOh,Ancient Sanctuary,Burst Stream of Destruction,,AST-038,Ultra Rare,Lightly Played Unlimited,6.51,0,0,0,,4,6.51,,,,0.00195396668278,0.71899998188,"('AST',)",f00f846c072a46c5b3e1a2de08c666af
567861,YuGiOh,Ancient Sanctuary,Dust Barrier,,AST-087,Common,Lightly Played Unlimited,0.13,0,0,0,,1,0.13,,,,0.0628973469138,0.0960000157356,"('AST',)",79e3b4c2dfc9443489274d7fb9e09e07
1105772,YuGiOh,Battle Pack 2: War of the Giants,Premature Burial,,BP02-EN135,Rare,Lightly Played Unlimited,0.39,0,0,0,,1,0.39,,,,0.0137870516628,0.550000011921,"('BP02',)",8f621b9c02b349dc91ca8578eb6bb175
1274179,YuGiOh,Duelist League Promo,Gold Sarcophagus (Blue),,DL18-EN011,Rare,Lightly Played Unlimited,3.0,0,0,0,,1,3.0,,,,0.0069947107695,0.42199999094,"('DL18',)",aae80a628f4e44888409d0d0c6937c75
3003774,YuGiOh,Dimension of Chaos,D/D Savant Kepler,,DOCS-EN092,Common,Lightly Played 1st Edition,0.38,0,0,0,,1,0.38,,,,0.0165731739253,0.458999991417,"('DOCS',)",5f3b40cf165b40e995d14c5e378ca2dd
570047,YuGiOh,Duelist Pack 5: Aster Phoenix,Misfortune,,DP05-EN014,Common,Lightly Played Unlimited,0.2,0,0,0,,1,0.2,,,,0.0440759696066,0.20300000906,"('DP05',)",1e78529c37ef46a1b2f86ad1e0041126
537175,YuGiOh,Duelist Pack 9: Yusei 2,Slip Summon,,DP09-EN028,Common,Lightly Played 1st Edition,0.12,0,0,0,,1,0.12,,,,0.115318730474,0.322000026703,"('DP09',)",aab9775ed89547929c5bd24f55b84927
1251090,YuGiOh,Duelist Alliance,Shaddoll Core,,DUEA-EN073,Super Rare,Lightly Played 1st Edition,1.02,0,0,0,,1,1.02,,,,0.00633650273085,0.0529999732971,"('DUEA',)",4f217c8fd0fc4569aebaae2780d16f9c
4160935,YuGiOh,Duel Power,Hieratic Seal of the Heavenly Spheres,,DUPO-EN027,Ultra Rare,Lightly Played Unlimited,0.37,0,0,0,,1,0.37,,,,0.0743289813399,0.638000011444,"('DUPO',)",afd3a97920854728ba3d3173a0f83c3a
7802877,YuGiOh,25th Anniversary Ultimate Kaiba Set,Blue-Eyes Ultimate Dragon,,KC01-EN033,Ultra Rare,Lightly Played Unlimited,13.06,0,0,0,,3,13.06,,,,0.0222794543952,0.676999986172,"('KC01',)",776d01539cda43028af67d26085b031b
3746188,YuGiOh,Legendary Collection Kaiba,Blue-Eyes Twin Burst Dragon,,LCKC-EN058,Ultra Rare,Lightly Played Unlimited,0.85,0,0,0,,3,0.85,,,,0.0424082130194,0.244000017643,"('LCKC',)",ab2a5f9eaa2640cfb5768114dad639c1
3513408,YuGiOh,Legendary Dragon Decks,Storming Mirror Force,,LEDD-ENB22,Common,Lightly Played 1st Edition,0.5,0,0,0,,1,0.5,,,,0.00403123116121,0.458000004292,"('LEDD',)",45e47107950940f2829900112bbcdeb6
575146,YuGiOh,The Legend of Blue Eyes White Dragon,Blue-Eyes White Dragon,,LOB-001,Ultra Rare,Lightly Played Unlimited,89.9,0,0,0,,1,89.9,,,,0.000731166917831,0.412999987602,"('LOB',)",849810f9e3cb4608b4baa432d7dc7de5
542320,YuGiOh,The Legend of Blue Eyes White Dragon,Forest,,LOB-046,Common,Lightly Played 1st Edition,2.73,0,0,0,,1,2.73,,,,1,0.598999977112,"('LOB',)",12ee21439a54472ca15554f6e6bd5fd4
572083,YuGiOh,Light of Destruction,Glorious Illusion,,LODT-EN071,Rare,Lightly Played Unlimited,0.71,0,0,0,,1,0.71,,,,0.0049903714098,0.532999992371,"('LODT',)",803d63a6ed9042e3a5578db515537949
4531607,YuGiOh,2020 Tin of Lost Memories,Destined Rivals,,MP20-EN248,Ultra Rare,Lightly Played 1st Edition,1.55,0,0,0,,1,1.55,,,,0.0126400087029,0.564999997616,"('MP20',)",aab949fec3774bd39066a4bcaeafd1a2
572222,YuGiOh,Magic Ruler,Hiro's Shadow Scout,,MRL-024,Rare,Lightly Played Unlimited,0.31,0,0,0,,1,0.31,,,,0.0486229918897,0.411000013351,"('MRL',)",4ca65d9d542d4ecdac6e3c39e7bd603f
4478810,YuGiOh,OTS Tournament Pack 13,Bottomless Trap Hole,,OP13-EN022,Common,Lightly Played Unlimited,0.4,0,0,0,,1,0.4,,,,0.155161947012,0.454999983311,"('OP13',)",1ea1f7b963a54542945d8a59958e3c02
4782733,YuGiOh,OTS Tournament Pack 15,D.D.R. - Different Dimension Reincarnation,,OP15-EN017,Common,Lightly Played Unlimited,0.74,0,0,0,,1,0.74,,,,0.233110040426,0.416000008583,"('OP15',)",489d8fc38bef4ab5a1f088e77e7de381
7986963,YuGiOh,OTS Tournament Pack 25,Fusion Tag,,OP25-EN011,Super Rare,Lightly Played Unlimited,0.24,0,0,0,,1,0.24,,,,0.0276615060866,0.316999971867,"('OP25',)",3442737745f243b18837dbcf62da5a80
572959,YuGiOh,Power of the Duelist,Overload Fusion,,POTD-EN042,Rare,Lightly Played Unlimited,0.55,0,0,0,,1,0.55,,,,0.000185741882888,0.430999994278,"('POTD',)",7870e84a9e99403fbb3ca2c580fdd04e
572771,YuGiOh,Pharaoh's Servant,Red-Moon Baby,,PSV-090,Rare,Lightly Played Unlimited,0.17,0,0,0,,1,0.17,,,,0.104186877608,0.476000010967,"('PSV',)",b4a8918882614cc0b6fcc51fefb5a32d
574531,YuGiOh,Structure Deck: Machine Re-Volt,Machine Duplication,,SD10-EN029,Common,Lightly Played Unlimited,0.18,0,0,0,,1,0.18,,,,0.123272910714,0.611999988556,"('SD10',)",9ea602c315bd4df5a041694607c2b9ab
574532,YuGiOh,Structure Deck: Machine Re-Volt,Pot of Avarice,,SD10-EN030,Common,Lightly Played Unlimited,0.72,0,0,0,,1,0.72,,,,0.114985510707,0.426999986172,"('SD10',)",47aa9078de4d45408ec770fb5bc74eb3
574535,YuGiOh,Structure Deck: Machine Re-Volt,Sakuretsu Armor,,SD10-EN033,Common,Lightly Played Unlimited,0.51,0,0,0,,2,0.51,,,,0.0715928077698,0.652999997139,"('SD10',)",40050f3e01e243d3809090f6011bc265
541774,YuGiOh,Structure Deck: Warrior's Triumph,Divine Sword - Phoenix Blade,,SD5-EN018,Common,Lightly Played 1st Edition,0.38,0,0,0,,1,0.38,,,,0.197117120028,0.518999993801,"('SD5',)",0dd3d6f276394d29aee2d9f9fd5cc775
5484583,YuGiOh,Structure Deck: Albaz Strike,Albion the Branded Dragon,,SDAZ-EN046,Common,Lightly Played 1st Edition,0.26,0,0,0,,2,0.26,,,,0.206150650978,0.536000013351,"('SDAZ',)",f8394b3bf2454f2eb3d83877ea53da59
5484378,YuGiOh,Structure Deck: Albaz Strike,Albion the Shrouded Dragon,,SDAZ-EN005,Common,Lightly Played 1st Edition,0.16,0,0,0,,1,0.16,,,,0.120123922825,0.416999995708,"('SDAZ',)",8249b42045f544098391fc0dda202a66
5484608,YuGiOh,Structure Deck: Albaz Strike,Aluber the Dogmatic,,SDAZ-EN051,Common,Lightly Played 1st Edition,0.19,0,0,0,,3,0.19,,,,1,0.662999987602,"('SDAZ',)",df0eb7df1b5e4bf484f269b208029749
5484408,YuGiOh,Structure Deck: Albaz Strike,Artifact Scythe,,SDAZ-EN011,Common,Lightly Played 1st Edition,0.15,0,0,0,,1,0.15,,,,0.365800857544,0.500999987125,"('SDAZ',)",abf141822e034a68a1d7a7a418430d59
5484418,YuGiOh,Structure Deck: Albaz Strike,Black Dragon Collapserpent,,SDAZ-EN013,Common,Lightly Played 1st Edition,0.11,0,0,0,,1,0.11,,,,0.267066329718,0.379999995232,"('SDAZ',)",d2e2e4f139304c34bf88221f306a4db2
5484548,YuGiOh,Structure Deck: Albaz Strike,Dimensional Barrier,,SDAZ-EN039,Common,Lightly Played 1st Edition,0.27,0,0,0,,1,0.27,,,,0.165183871984,0.464999973774,"('SDAZ',)",912905dd27b34146a0f99f3283a08827
5484373,YuGiOh,Structure Deck: Albaz Strike,Fallen of Albaz,,SDAZ-EN004,Common,Lightly Played 1st Edition,0.1,0,0,0,,1,0.1,,,,0.200560122728,0.550999999046,"('SDAZ',)",0713814479d54507b8b1131cdb3d8c7e
5484438,YuGiOh,Structure Deck: Albaz Strike,Ghost Ogre & Snow Rabbit,,SDAZ-EN017,Common,Lightly Played 1st Edition,0.33,0,0,0,,2,0.33,,,,0.247268125415,0.636000037193,"('SDAZ',)",ce45d827794841c2afeafe01202b8a5c
5484493,YuGiOh,Structure Deck: Albaz Strike,Pot of Extravagance,,SDAZ-EN028,Common,Lightly Played 1st Edition,0.45,0,0,0,,2,0.45,,,,0.211248442531,0.47000002861,"('SDAZ',)",52d1d79deeeb4455916a32e6bbc7394c
5484403,YuGiOh,Structure Deck: Albaz Strike,"Radian, the Multidimensional Kaiju",,SDAZ-EN010,Common,Lightly Played 1st Edition,0.15,0,0,0,,1,0.15,,,,0.18542046845,0.643999993801,"('SDAZ',)",e6cbd365757f44e3899b94535d757075
5484423,YuGiOh,Structure Deck: Albaz Strike,Starliege Seyfert,,SDAZ-EN014,Common,Lightly Played 1st Edition,0.16,0,0,0,,1,0.16,,,,0.317247420549,0.534999966621,"('SDAZ',)",606de8c113c0491ebae5e744d77d3db5
5484603,YuGiOh,Structure Deck: Albaz Strike,The Virtuous Vestals,,SDAZ-EN050,Common,Lightly Played 1st Edition,0.15,0,0,0,,1,0.15,,,,1,0.601999998093,"('SDAZ',)",c6e3c3b0d7464d20b9c24d7c7a095593
5484393,YuGiOh,Structure Deck: Albaz Strike,"Thunder King, the Lightningstrike Kaiju",,SDAZ-EN008,Common,Lightly Played 1st Edition,0.21,0,0,0,,2,0.21,,,,0.265083432198,0.504999995232,"('SDAZ',)",dd3ad0d286364a7f8a7c22310b19345f
5484568,YuGiOh,Structure Deck: Albaz Strike,Titaniklad the Ash Dragon,,SDAZ-EN043,Common,Lightly Played 1st Edition,0.15,0,0,0,,2,0.15,,,,0.231801122427,0.569999992847,"('SDAZ',)",32da8c3433bb4c5b8b7f67d77f4c7a05
5484413,YuGiOh,Structure Deck: Albaz Strike,White Dragon Wyverburster,,SDAZ-EN012,Common,Lightly Played 1st Edition,0.12,0,0,0,,1,0.12,,,,0.249607652426,0.32800000906,"('SDAZ',)",3da85034eaab41eea42f9323e4d5ef03
2829081,YuGiOh,Structure Deck: Saga of Blue-Eyes White Dragon,Compulsory Evacuation Device,,SDBE-EN038,Common,Lightly Played Unlimited,0.21,0,0,0,,1,0.21,,,,0.0677365288138,0.679000020027,"('SDBE',)",47f5b9fc048e4f2286346a4b5e57be1a
2829060,YuGiOh,Structure Deck: Saga of Blue-Eyes White Dragon,Honest,,SDBE-EN017,Common,Lightly Played Unlimited,0.2,0,0,0,,1,0.2,,,,0.114814795554,0.649999976158,"('SDBE',)",ddcbeecfc2a4476ca01e89aedc22a0dc
2829078,YuGiOh,Structure Deck: Saga of Blue-Eyes White Dragon,Kunai with Chain,,SDBE-EN035,Common,Lightly Played Unlimited,0.1,0,0,0,,1,0.1,,,,0.117595851421,0.636000037193,"('SDBE',)",74473ee06bd34a25a812a13e57f90fd9
2829070,YuGiOh,Structure Deck: Saga of Blue-Eyes White Dragon,One for One,,SDBE-EN027,Common,Lightly Played Unlimited,0.49,0,0,0,,1,0.49,,,,0.101243950427,0.564999997616,"('SDBE',)",c59e634d65e94c0494373fb265d865a2
2829061,YuGiOh,Structure Deck: Saga of Blue-Eyes White Dragon,Shining Angel,,SDBE-EN018,Common,Lightly Played Unlimited,0.23,0,0,0,,4,0.23,,,,0.0914101153612,0.649999976158,"('SDBE',)",f7d0dda45fbe4ba498ee3441eb6d8a7d
1133292,YuGiOh,Structure Deck: Saga of Blue-Eyes White Dragon,Silver's Cry,,SDBE-EN020,Common,Lightly Played 1st Edition,0.37,0,0,0,,2,0.37,,,,0.250015109777,0.416999995708,"('SDBE',)",82426cbb7d0f401c9e477d31abcc28c0
2829069,YuGiOh,Structure Deck: Saga of Blue-Eyes White Dragon,White Elephant's Gift,,SDBE-EN026,Common,Lightly Played Unlimited,0.15,0,0,0,,1,0.15,,,,0.107795223594,0.664000034332,"('SDBE',)",00c9319162394c7ba420799b01a33c19
7001931,YuGiOh,Structure Deck: Beware of Traptrix,"Gadarla, the Mystery Dust Kaiju",,SDBT-EN009,Common,Lightly Played 1st Edition,0.16,0,0,0,,3,0.16,,,,0.202159523964,0.738999962807,"('SDBT',)",e8e847dc8de141f9a317e89bb7b426e2
7001956,YuGiOh,Structure Deck: Beware of Traptrix,"Kumongous, the Sticky String Kaiju",,SDBT-EN010,Common,Lightly Played 1st Edition,0.31,0,0,0,,1,0.31,,,,0.194526895881,0.527000010014,"('SDBT',)",db5bc7fe0d3a4601b0805b4c943c592e
7002201,YuGiOh,Structure Deck: Beware of Traptrix,Raigeki,,SDBT-EN025,Common,Lightly Played 1st Edition,1.82,0,0,0,,3,1.82,,,,0.131588876247,0.620000004768,"('SDBT',)",c582c8acea924887824bb726979e8689
7001981,YuGiOh,Structure Deck: Beware of Traptrix,"Retaliating ""C""",,SDBT-EN011,Common,Lightly Played 1st Edition,0.73,0,0,0,,1,0.73,,,,0.267470359802,0.758000016212,"('SDBT',)",7bba8d56e82146daad080b7cd6ab62a0
7001871,YuGiOh,Structure Deck: Beware of Traptrix,Traptrix Nepenthes,,SDBT-EN005,Common,Lightly Played 1st Edition,0.13,0,0,0,,1,0.13,,,,0.266025334597,0.71899998188,"('SDBT',)",12157fb199d04a67b081eca937215558
7002836,YuGiOh,Structure Deck: Beware of Traptrix,Traptrix Vesiculo,,SDBT-EN008,Common,Lightly Played 1st Edition,0.13,0,0,0,,2,0.13,,,,0.15375995636,0.554000020027,"('SDBT',)",4f491b88fc5d4d48a23128bcd0d77653
5819493,YuGiOh,Structure Deck: Legend of the Crystal Beasts,Crystal Promise,,SDCB-EN023,Common,Lightly Played 1st Edition,0.09,0,0,0,,1,0.09,,,,0.180915892124,0.623000025749,"('SDCB',)",79627a4c8d4f44ffa378e614cffc74b3
5819523,YuGiOh,Structure Deck: Legend of the Crystal Beasts,The Melody of Awakening Dragon,,SDCB-EN029,Common,Lightly Played 1st Edition,0.08,0,0,0,,1,0.08,,,,0.212266847491,0.759999990463,"('SDCB',)",a82ee77468b94e6683d6ba7b8c7be7d7
4615258,YuGiOh,Structure Deck: Spirit Charmers,Dimensional Barrier,,SDCH-EN035,Common,Lightly Played 1st Edition,0.22,0,0,0,,3,0.22,,,,0.0717255100608,0.290000021458,"('SDCH',)",5901fd3afe444e4c8e8a218d2e98702b
4615253,YuGiOh,Structure Deck: Spirit Charmers,Metaverse,,SDCH-EN034,Common,Lightly Played 1st Edition,0.2,0,0,0,,5,0.2,,,,0.0466016829014,0.699000000954,"('SDCH',)",98fc08d2594d4771b4b4e56d68c34300
4615213,YuGiOh,Structure Deck: Spirit Charmers,Twin Twisters,,SDCH-EN026,Common,Lightly Played 1st Edition,0.23,0,0,0,,2,0.23,,,,0.180326715112,0.569000005722,"('SDCH',)",5717d420cef94a05b464aea6e13cb2fa
7428357,YuGiOh,Structure Deck: The Crimson King,Absolute King Back Jack,,SDCK-EN016,Common,Lightly Played 1st Edition,0.06,0,0,0,,1,0.06,,,,0.222739264369,0.677999973297,"('SDCK',)",e814df7720fd4ad58035f64377c5e12b
7428442,YuGiOh,Structure Deck: The Crimson King,Absolute Powerforce,,SDCK-EN025,Common,Lightly Played 1st Edition,0.14,0,0,0,,2,0.14,,,,1,0.411000013351,"('SDCK',)",9dc30480a1b2467695f87f3ad2d2ccab
7428407,YuGiOh,Structure Deck: The Crimson King,"Ascator, Dawnwalker",,SDCK-EN021,Common,Lightly Played 1st Edition,0.19,0,0,0,,2,0.19,,,,0.23220577836,0.440999984741,"('SDCK',)",2b78c9dc8ec04918b77ce723615b200f
7428372,YuGiOh,Structure Deck: The Crimson King,Assault Beast,,SDCK-EN018,Common,Lightly Played 1st Edition,0.31,0,0,0,,2,0.31,,,,0.409579336643,0.477999985218,"('SDCK',)",916fea1f364742dbb6c854be017349bd
7428547,YuGiOh,Structure Deck: The Crimson King,Assault Mode Activate,,SDCK-EN039,Common,Lightly Played 1st Edition,0.3,0,0,0,,1,0.3,,,,0.396891921759,0.631999969482,"('SDCK',)",0f91f7c2bdad41c3b357e598766c8434
7428302,YuGiOh,Structure Deck: The Crimson King,Battle Fader,,SDCK-EN010,Common,Lightly Played 1st Edition,0.2,0,0,0,,1,0.2,,,,0.211628600955,0.518999993801,"('SDCK',)",11d0b604511e4c5b800dc6a9293b16d0
7428237,YuGiOh,Structure Deck: The Crimson King,Bone Archfiend,,SDCK-EN003,Common,Lightly Played 1st Edition,3.15,0,0,0,,3,3.15,,,,1,0.712000012398,"('SDCK',)",4c582bcb9bd94eb9ac85f2b29aaee622
7428482,YuGiOh,Structure Deck: The Crimson King,Burning Soul,,SDCK-EN030,Common,Lightly Played 1st Edition,0.12,0,0,0,,1,0.12,,,,0.195475161076,0.621999979019,"('SDCK',)",00740fabad054ee296ed0b6aa97fc0cc
7428267,YuGiOh,Structure Deck: The Crimson King,Creation Resonator,,SDCK-EN005,Common,Lightly Played 1st Edition,0.06,0,0,0,,2,0.06,,,,0.270109534264,0.626999974251,"('SDCK',)",7980e39d809546e1970a7ac60551ad7f
7428447,YuGiOh,Structure Deck: The Crimson King,Crimson Gaia,,SDCK-EN026,Common,Lightly Played 1st Edition,1.78,0,0,0,,6,1.78,,,,1,0.318000018597,"('SDCK',)",8887f1b62b884e2d84c89e9bfa0b87d1
7428282,YuGiOh,Structure Deck: The Crimson King,Crimson Resonator,,SDCK-EN008,Common,Lightly Played 1st Edition,0.21,0,0,0,,3,0.21,,,,0.178969755769,0.492999970913,"('SDCK',)",0c2d5cb2a2e9478a8a9bbe8165ad945e
7428417,YuGiOh,Structure Deck: The Crimson King,Danger! Chupacabra!,,SDCK-EN023,Common,Lightly Played 1st Edition,0.16,0,0,0,,2,0.16,,,,0.162696689367,0.486000001431,"('SDCK',)",10ade5ca4ab34191a0789b1e0499cd9b
7428412,YuGiOh,Structure Deck: The Crimson King,Danger! Nessie!,,SDCK-EN022,Common,Lightly Played 1st Edition,0.23,0,0,0,,2,0.23,,,,0.298676759005,0.597999989986,"('SDCK',)",2ef851c7b685448a83c644eeac33f24c
7428247,YuGiOh,Structure Deck: The Crimson King,Dark Resonator,,SDCK-EN004,Common,Lightly Played 1st Edition,0.13,0,0,0,,3,0.13,,,,0.189286783338,0.628000020981,"('SDCK',)",b8e94e8a5fb1407dbe7dcf0267ebf90f
7428537,YuGiOh,Structure Deck: The Crimson King,Fiendish Chain,,SDCK-EN037,Common,Lightly Played 1st Edition,0.25,0,0,0,,1,0.25,,,,0.182065322995,0.526000022888,"('SDCK',)",81d6880d900443b7ba38dd110798408d
7428492,YuGiOh,Structure Deck: The Crimson King,Fiendish Golem,,SDCK-EN032,Common,Lightly Played 1st Edition,0.14,0,0,0,,1,0.14,,,,1,0.46899998188,"('SDCK',)",e1fad42f70034f49a055efe3bd9074b2
7428397,YuGiOh,Structure Deck: The Crimson King,Fire Ant Ascator,,SDCK-EN020,Common,Lightly Played 1st Edition,0.15,0,0,0,,2,0.15,,,,0.169067904353,0.618999958038,"('SDCK',)",ffcd9021257d412ca562b59064aac25c
7428572,YuGiOh,Structure Deck: The Crimson King,Hot Red Dragon Archfiend Abyss,,SDCK-EN042,Common,Lightly Played 1st Edition,0.15,0,0,0,,3,0.15,,,,0.265241026878,0.443000018597,"('SDCK',)",a2190bd686c542c793dc612cf9ec6fd8
7428582,YuGiOh,Structure Deck: The Crimson King,Hot Red Dragon Archfiend Bane,,SDCK-EN043,Common,Lightly Played 1st Edition,0.07,0,0,0,,3,0.07,,,,0.281948834658,0.480000019073,"('SDCK',)",15b067266d3945c0acb1c70afeefd018
7428512,YuGiOh,Structure Deck: The Crimson King,King's Synchro,,SDCK-EN034,Common,Lightly Played 1st Edition,0.18,0,0,0,,2,0.18,,,,0.195112064481,0.541000008583,"('SDCK',)",8b5c3f23da4e446e90e84b8d3dd86f31
7428352,YuGiOh,Structure Deck: The Crimson King,Magical King Moonstar,,SDCK-EN015,Common,Lightly Played 1st Edition,0.09,0,0,0,,1,0.09,,,,1,0.402000010014,"('SDCK',)",465c5d5320834b919436a550feb39861
7428347,YuGiOh,Structure Deck: The Crimson King,Phantom King Hydride,,SDCK-EN014,Common,Lightly Played 1st Edition,0.14,0,0,0,,1,0.14,,,,0.230949163437,0.56400001049,"('SDCK',)",8e05c9090abe49179e1d9e8601424eca
7428542,YuGiOh,Structure Deck: The Crimson King,Powerful Rebirth,,SDCK-EN038,Common,Lightly Played 1st Edition,0.12,0,0,0,,1,0.12,,,,0.144874051213,0.523999989033,"('SDCK',)",a3ef030499f94f469e0c6689f72808f6
7428382,YuGiOh,Structure Deck: The Crimson King,Psi-Reflector,,SDCK-EN019,Common,Lightly Played 1st Edition,0.32,0,0,0,,2,0.32,,,,0.244032606483,0.529000043869,"('SDCK',)",3ae06f5b15264b948b4ce0111450805d
